Date,Kana Type,Kana,Times Seen,Times Correct,Accuracy
2023-04-13,Hiragana,あ,0,0,0
2023-04-13,Hiragana,い,0,0,0
2023-04-13,Hiragana,う,0,0,0
2023-04-13,Hiragana,え,0,0,0
2023-04-13,Hiragana,お,0,0,0
2023-04-13,Hiragana,か,0,0,0
2023-04-13,Hiragana,き,0,0,0
2023-04-13,Hiragana,く,0,0,0
2023-04-13,Hiragana,け,0,0,0
2023-04-13,Hiragana,こ,0,0,0
2023-04-13,Hiragana,さ,0,0,0
2023-04-13,Hiragana,し,0,0,0
2023-04-13,Hiragana,す,0,0,0
2023-04-13,Hiragana,せ,0,0,0
2023-04-13,Hiragana,そ,0,0,0
2023-04-13,Hiragana,た,0,0,0
2023-04-13,Hiragana,ち,0,0,0
2023-04-13,Hiragana,つ,0,0,0
2023-04-13,Hiragana,て,0,0,0
2023-04-13,Hiragana,と,0,0,0
2023-04-13,Hiragana,な,0,0,0
2023-04-13,Hiragana,に,0,0,0
2023-04-13,Hiragana,ぬ,0,0,0
2023-04-13,Hiragana,ね,0,0,0
2023-04-13,Hiragana,の,0,0,0
2023-04-13,Hiragana,は,0,0,0
2023-04-13,Hiragana,ひ,0,0,0
2023-04-13,Hiragana,ふ,0,0,0
2023-04-13,Hiragana,へ,0,0,0
2023-04-13,Hiragana,ほ,0,0,0
2023-04-13,Hiragana,ま,0,0,0
2023-04-13,Hiragana,み,0,0,0
2023-04-13,Hiragana,む,0,0,0
2023-04-13,Hiragana,め,0,0,0
2023-04-13,Hiragana,も,0,0,0
2023-04-13,Hiragana,や,0,0,0
2023-04-13,Hiragana,ゆ,0,0,0
2023-04-13,Hiragana,よ,0,0,0
2023-04-13,Hiragana,ら,0,0,0
2023-04-13,Hiragana,り,0,0,0
2023-04-13,Hiragana,る,0,0,0
2023-04-13,Hiragana,れ,0,0,0
2023-04-13,Hiragana,ろ,0,0,0
2023-04-13,Hiragana,わ,0,0,0
2023-04-13,Hiragana,を,0,0,0
2023-04-13,Hiragana,ん,0,0,0
2023-04-13,Katakana,ア,0,0,0
2023-04-13,Katakana,イ,0,0,0
2023-04-13,Katakana,ウ,0,0,0
2023-04-13,Katakana,エ,0,0,0
2023-04-13,Katakana,オ,0,0,0
2023-04-13,Katakana,カ,0,0,0
2023-04-13,Katakana,キ,0,0,0
2023-04-13,Katakana,ク,0,0,0
2023-04-13,Katakana,ケ,0,0,0
2023-04-13,Katakana,コ,0,0,0
2023-04-13,Katakana,サ,0,0,0
2023-04-13,Katakana,シ,0,0,0
2023-04-13,Katakana,ス,0,0,0
2023-04-13,Katakana,セ,0,0,0
2023-04-13,Katakana,ソ,0,0,0
2023-04-13,Katakana,タ,0,0,0
2023-04-13,Katakana,チ,0,0,0
2023-04-13,Katakana,ツ,0,0,0
2023-04-13,Katakana,テ,0,0,0
2023-04-13,Katakana,ト,0,0,0
2023-04-13,Katakana,ナ,0,0,0
2023-04-13,Katakana,ニ,0,0,0
2023-04-13,Katakana,ヌ,0,0,0
2023-04-13,Katakana,ネ,0,0,0
2023-04-13,Katakana,ノ,0,0,0
2023-04-13,Katakana,ハ,0,0,0
2023-04-13,Katakana,ヒ,0,0,0
2023-04-13,Katakana,フ,0,0,0
2023-04-13,Katakana,ヘ,0,0,0
2023-04-13,Katakana,ホ,0,0,0
2023-04-13,Katakana,マ,0,0,0
2023-04-13,Katakana,ミ,0,0,0
2023-04-13,Katakana,ム,0,0,0
2023-04-13,Katakana,メ,0,0,0
2023-04-13,Katakana,モ,0,0,0
2023-04-13,Katakana,ヤ,0,0,0
2023-04-13,Katakana,ユ,0,0,0
2023-04-13,Katakana,ヨ,0,0,0
2023-04-13,Katakana,ラ,0,0,0
2023-04-13,Katakana,リ,0,0,0
2023-04-13,Katakana,ル,0,0,0
2023-04-13,Katakana,レ,0,0,0
2023-04-13,Katakana,ロ,0,0,0
2023-04-13,Katakana,ワ,0,0,0
2023-04-13,Katakana,ヲ,0,0,0
2023-04-13,Katakana,ン,0,0,0
